id,date,title,insight,tags
L1,2026-06-25,格式块压缩模式,展示格式与交付模板未区分导致行数膨胀。判据：输出模板(IS the deliverable)不压;展示格式(display format)压为1-2行prose。always-on文件优先压格式块——每条消息注入的ROI最高,瘦身;格式块;always-on
L2,2026-06-25,双栈差异≠漂移,平台特性差异是有意设计(命令命名/turbo标记/工具名/Memory系统)非漂移。建立intentional-diff清单后不反复审查;dao-smoke已覆盖真漂移检测,双栈;漂移;platform-specific
L3,2026-06-27,合并skill须验证跨skill耦合,skill合并后必须验证跨skill引用链——不只是名称替换(grep旧名)还要检查流程衔接。§P生成OD提示词时不知道§B.0的worktree机制存在导致OD产出绕过草稿区生命周期。判据：两个skill共享同一输出空间(如design/)时合并后必须走一遍端到端流程验证联动,合并;耦合;引用链;worktree;端到端验证
L4,2026-06-29,知识归位须前移到动手前,知识归位原本只在产出后判"写到哪"——太晚。用户说"TraceyU调试痛苦"时AI直接改TraceyU花20轮才发现应先改dao体系。判据：用户描述具体问题时先过归属层——解法换个项目还能用吗？能→先改dao再顺手改项目。"换个项目还能用吗"从post-output提升为pre-analysis,归属层;前移;知识归位;意图升维
L5,2026-06-29,信号驱动优于机械检查,升维判断不能变成每次都问"项目级还是dao级"的checklist(会被忽略)。有效方式：定义升维信号(痛苦词+工作流描述+工具质疑+跨项目推广性)≥2共现才触发。显式词直行/信号浮出/无信号静默——三级行为避免过度打扰又不遗漏,信号检测;升维;checklist反模式;三级行为
L6,2026-06-30,Spec选项数必须交叉校验工具硬限,dao-design SKILL.md模式A写了5个选项(后又加od-sync到6个)但AskUserQuestion硬限maxItems:4——规则存在(dao.md续力节已写2-4)但spec编写时没验证。规则存在≠被执行缺的是编写时的校验动作。判据：写spec含选项列表时写完必须数一遍超4即砍;低频功能走提问文本暴露关键词+Other兜底不占槽位。已固化到dao.md续力节+SKILL.md§3反模式#7,工具约束;选项溢出;交叉校验;spec编写
L7,2026-06-30,用户不该碰UUID——查数据库自动发现,od-panel-sync最初要求用户手动输入OD项目UUID。第一性原理：OD本地SQLite(app.sqlite projects表)有项目名→UUID映射。正确流程：查DB→列项目名→用户选→自动写.od-sync.json。善行无辙迹——用户从头到尾只看到项目名UUID的存在被完全隐藏,第一性原理;自动发现;UUID隐藏;SQLite;太上不知有之
L8,2026-06-30,静态门控拦不住运行时失效——模板对≠渲染对,protocol-od.md层2示意tailwind.config在CDN前→OD按此输出→ReferenceError→自定义config静默失效→bg-danger/rounded-*/shadow-*全不生效。5道完成门控全是文本检查(变量自包含/无硬编码/三层齐全)全部通过但页面渲染破损。真相源模板bug经symlink传播到所有下游项目。判据：门控体系须含运行时验证层——已加关六「渲染自检」(真实渲染+抽检自定义类computed值);规则/模板中的代码示例必须是可执行正确的(顺序/语法/依赖)而非仅形式正确,静态门控;运行时验证;模板bug;symlink传播;Tailwind CDN;静默失效
L9,2026-07-05,实机长任务期间冻结源码编辑,devkit真实生成期间改前端源码触发Vite HMR全页reload——运行中流式任务被杀且早期中断无partial可续传；更隐蔽的是被杀的流平台照计费但拿不到usage chunk=App账单结构性盲区(对完成调用精确、对中断流失明)。判据：触发实机E2E/长生成前声明源码冻结窗口；确需编辑先确认无实机任务在跑,HMR;实机E2E;流式中断;计费盲区;源码冻结
L10,2026-07-05,截图回归确定性两律,律一：被截图页面禁远程资产——CDN字体/脚本某轮加载失败=整页降级=基线随机挂；fonts.ready治不了"字体根本没来"；治本是自托管(TraceyU落地20个woff2+tailwind-play.js后6轮双跑零失败且提速10倍)。律二：基线必须防假页面——tests/visual目录重构后路径未跟随导致13张入库基线全是404截图且套件以404==404恒等通过多日；建基线/重构路径后必须肉眼或断言验证基线是真页面,截图回归;CDN;自托管;404基线;确定性
